acRate,difficulty,freqBar,frontendQuestionId,isFavor,paidOnly,status,title,titleSlug,topicTags,hasSolution,hasVideoSolution
47.5505540854028,Easy,,1,False,False,,Two Sum,two-sum,"[{'name': 'Array', 'id': 'VG9waWNUYWdOb2RlOjU=', 'slug': 'array'}, {'name': 'Hash Table', 'id': 'VG9waWNUYWdOb2RlOjY=', 'slug': 'hash-table'}]",True,True
36.76436555368667,Medium,,2,False,False,,Add Two Numbers,add-two-numbers,"[{'name': 'Linked List', 'id': 'VG9waWNUYWdOb2RlOjc=', 'slug': 'linked-list'}, {'name': 'Math', 'id': 'VG9waWNUYWdOb2RlOjg=', 'slug': 'math'}, {'name': 'Recursion', 'id': 'VG9waWNUYWdOb2RlOjMx', 'slug': 'recursion'}]",True,False
32.122315988298865,Medium,,3,False,False,,Longest Substring Without Repeating Characters,longest-substring-without-repeating-characters,"[{'name': 'Hash Table', 'id': 'VG9waWNUYWdOb2RlOjY=', 'slug': 'hash-table'}, {'name': 'String', 'id': 'VG9waWNUYWdOb2RlOjEw', 'slug': 'string'}, {'name': 'Sliding Window', 'id': 'VG9waWNUYWdOb2RlOjU1ODIx', 'slug': 'sliding-window'}]",True,True
32.58729563984814,Hard,,4,False,False,,Median of Two Sorted Arrays,median-of-two-sorted-arrays,"[{'name': 'Array', 'id': 'VG9waWNUYWdOb2RlOjU=', 'slug': 'array'}, {'name': 'Binary Search', 'id': 'VG9waWNUYWdOb2RlOjEx', 'slug': 'binary-search'}, {'name': 'Divide and Conquer', 'id': 'VG9waWNUYWdOb2RlOjEy', 'slug': 'divide-and-conquer'}]",False,False
31.164447399458652,Medium,,5,False,False,,Longest Palindromic Substring,longest-palindromic-substring,"[{'name': 'String', 'id': 'VG9waWNUYWdOb2RlOjEw', 'slug': 'string'}, {'name': 'Dynamic Programming', 'id': 'VG9waWNUYWdOb2RlOjEz', 'slug': 'dynamic-programming'}]",True,False
39.56515288860838,Medium,,6,False,False,,ZigZag Conversion,zigzag-conversion,"[{'name': 'String', 'id': 'VG9waWNUYWdOb2RlOjEw', 'slug': 'string'}]",True,False
26.11011359120374,Easy,,7,False,False,,Reverse Integer,reverse-integer,"[{'name': 'Math', 'id': 'VG9waWNUYWdOb2RlOjg=', 'slug': 'math'}]",True,False
15.968002888216692,Medium,,8,False,False,,String to Integer (atoi),string-to-integer-atoi,"[{'name': 'String', 'id': 'VG9waWNUYWdOb2RlOjEw', 'slug': 'string'}]",False,False
51.24624472337732,Easy,,9,False,False,,Palindrome Number,palindrome-number,"[{'name': 'Math', 'id': 'VG9waWNUYWdOb2RlOjg=', 'slug': 'math'}]",True,False
27.854967174772387,Hard,,10,False,False,,Regular Expression Matching,regular-expression-matching,"[{'name': 'String', 'id': 'VG9waWNUYWdOb2RlOjEw', 'slug': 'string'}, {'name': 'Dynamic Programming', 'id': 'VG9waWNUYWdOb2RlOjEz', 'slug': 'dynamic-programming'}, {'name': 'Recursion', 'id': 'VG9waWNUYWdOb2RlOjMx', 'slug': 'recursion'}]",True,False
53.09987573474299,Medium,,11,False,False,,Container With Most Water,container-with-most-water,"[{'name': 'Array', 'id': 'VG9waWNUYWdOb2RlOjU=', 'slug': 'array'}, {'name': 'Two Pointers', 'id': 'VG9waWNUYWdOb2RlOjk=', 'slug': 'two-pointers'}, {'name': 'Greedy', 'id': 'VG9waWNUYWdOb2RlOjE3', 'slug': 'greedy'}]",True,True
58.08531919655405,Medium,,12,False,False,,Integer to Roman,integer-to-roman,"[{'name': 'Hash Table', 'id': 'VG9waWNUYWdOb2RlOjY=', 'slug': 'hash-table'}, {'name': 'Math', 'id': 'VG9waWNUYWdOb2RlOjg=', 'slug': 'math'}, {'name': 'String', 'id': 'VG9waWNUYWdOb2RlOjEw', 'slug': 'string'}]",True,False
57.587564671947256,Easy,,13,False,False,,Roman to Integer,roman-to-integer,"[{'name': 'Hash Table', 'id': 'VG9waWNUYWdOb2RlOjY=', 'slug': 'hash-table'}, {'name': 'Math', 'id': 'VG9waWNUYWdOb2RlOjg=', 'slug': 'math'}, {'name': 'String', 'id': 'VG9waWNUYWdOb2RlOjEw', 'slug': 'string'}]",True,False
37.58816937938302,Easy,,14,False,False,,Longest Common Prefix,longest-common-prefix,"[{'name': 'String', 'id': 'VG9waWNUYWdOb2RlOjEw', 'slug': 'string'}]",True,False
29.26197723737368,Medium,,15,False,False,,3Sum,3sum,"[{'name': 'Array', 'id': 'VG9waWNUYWdOb2RlOjU=', 'slug': 'array'}, {'name': 'Two Pointers', 'id': 'VG9waWNUYWdOb2RlOjk=', 'slug': 'two-pointers'}, {'name': 'Sorting', 'id': 'VG9waWNUYWdOb2RlOjYxMDQ5', 'slug': 'sorting'}]",True,False
46.753840939900584,Medium,,16,False,False,,3Sum Closest,3sum-closest,"[{'name': 'Array', 'id': 'VG9waWNUYWdOb2RlOjU=', 'slug': 'array'}, {'name': 'Two Pointers', 'id': 'VG9waWNUYWdOb2RlOjk=', 'slug': 'two-pointers'}, {'name': 'Sorting', 'id': 'VG9waWNUYWdOb2RlOjYxMDQ5', 'slug': 'sorting'}]",True,False
51.369184291355616,Medium,,17,False,False,,Letter Combinations of a Phone Number,letter-combinations-of-a-phone-number,"[{'name': 'Hash Table', 'id': 'VG9waWNUYWdOb2RlOjY=', 'slug': 'hash-table'}, {'name': 'String', 'id': 'VG9waWNUYWdOb2RlOjEw', 'slug': 'string'}, {'name': 'Backtracking', 'id': 'VG9waWNUYWdOb2RlOjE0', 'slug': 'backtracking'}]",True,False
36.52931013289785,Medium,,18,False,False,,4Sum,4sum,"[{'name': 'Array', 'id': 'VG9waWNUYWdOb2RlOjU=', 'slug': 'array'}, {'name': 'Two Pointers', 'id': 'VG9waWNUYWdOb2RlOjk=', 'slug': 'two-pointers'}, {'name': 'Sorting', 'id': 'VG9waWNUYWdOb2RlOjYxMDQ5', 'slug': 'sorting'}]",True,False
36.750298721020556,Medium,,19,False,False,,Remove Nth Node From End of List,remove-nth-node-from-end-of-list,"[{'name': 'Linked List', 'id': 'VG9waWNUYWdOb2RlOjc=', 'slug': 'linked-list'}, {'name': 'Two Pointers', 'id': 'VG9waWNUYWdOb2RlOjk=', 'slug': 'two-pointers'}]",True,False
40.32749158658543,Easy,,20,False,False,,Valid Parentheses,valid-parentheses,"[{'name': 'String', 'id': 'VG9waWNUYWdOb2RlOjEw', 'slug': 'string'}, {'name': 'Stack', 'id': 'VG9waWNUYWdOb2RlOjE1', 'slug': 'stack'}]",True,True
57.64267289789423,Easy,,21,False,False,,Merge Two Sorted Lists,merge-two-sorted-lists,"[{'name': 'Linked List', 'id': 'VG9waWNUYWdOb2RlOjc=', 'slug': 'linked-list'}, {'name': 'Recursion', 'id': 'VG9waWNUYWdOb2RlOjMx', 'slug': 'recursion'}]",True,False
67.7281026523293,Medium,,22,False,False,,Generate Parentheses,generate-parentheses,"[{'name': 'String', 'id': 'VG9waWNUYWdOb2RlOjEw', 'slug': 'string'}, {'name': 'Dynamic Programming', 'id': 'VG9waWNUYWdOb2RlOjEz', 'slug': 'dynamic-programming'}, {'name': 'Backtracking', 'id': 'VG9waWNUYWdOb2RlOjE0', 'slug': 'backtracking'}]",True,False
44.442196975826434,Hard,,23,False,False,,Merge k Sorted Lists,merge-k-sorted-lists,"[{'name': 'Linked List', 'id': 'VG9waWNUYWdOb2RlOjc=', 'slug': 'linked-list'}, {'name': 'Divide and Conquer', 'id': 'VG9waWNUYWdOb2RlOjEy', 'slug': 'divide-and-conquer'}, {'name': 'Heap (Priority Queue)', 'id': 'VG9waWNUYWdOb2RlOjYxMDUw', 'slug': 'heap-priority-queue'}, {'name': 'Merge Sort', 'id': 'VG9waWNUYWdOb2RlOjYxMDUx', 'slug': 'merge-sort'}]",True,False
55.250409833043726,Medium,,24,False,False,,Swap Nodes in Pairs,swap-nodes-in-pairs,"[{'name': 'Linked List', 'id': 'VG9waWNUYWdOb2RlOjc=', 'slug': 'linked-list'}, {'name': 'Recursion', 'id': 'VG9waWNUYWdOb2RlOjMx', 'slug': 'recursion'}]",True,False
48.0203920662412,Hard,,25,False,False,,Reverse Nodes in k-Group,reverse-nodes-in-k-group,"[{'name': 'Linked List', 'id': 'VG9waWNUYWdOb2RlOjc=', 'slug': 'linked-list'}, {'name': 'Recursion', 'id': 'VG9waWNUYWdOb2RlOjMx', 'slug': 'recursion'}]",True,False
47.54445989996758,Easy,,26,False,False,,Remove Duplicates from Sorted Array,remove-duplicates-from-sorted-array,"[{'name': 'Array', 'id': 'VG9waWNUYWdOb2RlOjU=', 'slug': 'array'}, {'name': 'Two Pointers', 'id': 'VG9waWNUYWdOb2RlOjk=', 'slug': 'two-pointers'}]",True,True
50.170012662374674,Easy,,27,False,False,,Remove Element,remove-element,"[{'name': 'Array', 'id': 'VG9waWNUYWdOb2RlOjU=', 'slug': 'array'}, {'name': 'Two Pointers', 'id': 'VG9waWNUYWdOb2RlOjk=', 'slug': 'two-pointers'}]",True,False
35.74258287843244,Easy,,28,False,False,,Implement strStr(),implement-strstr,"[{'name': 'Two Pointers', 'id': 'VG9waWNUYWdOb2RlOjk=', 'slug': 'two-pointers'}, {'name': 'String', 'id': 'VG9waWNUYWdOb2RlOjEw', 'slug': 'string'}, {'name': 'String Matching', 'id': 'VG9waWNUYWdOb2RlOjYxMDUy', 'slug': 'string-matching'}]",False,False
16.970738556394753,Medium,,29,False,False,,Divide Two Integers,divide-two-integers,"[{'name': 'Math', 'id': 'VG9waWNUYWdOb2RlOjg=', 'slug': 'math'}, {'name': 'Bit Manipulation', 'id': 'VG9waWNUYWdOb2RlOjE5', 'slug': 'bit-manipulation'}]",True,False
27.087630474992014,Hard,,30,False,False,,Substring with Concatenation of All Words,substring-with-concatenation-of-all-words,"[{'name': 'Hash Table', 'id': 'VG9waWNUYWdOb2RlOjY=', 'slug': 'hash-table'}, {'name': 'String', 'id': 'VG9waWNUYWdOb2RlOjEw', 'slug': 'string'}, {'name': 'Sliding Window', 'id': 'VG9waWNUYWdOb2RlOjU1ODIx', 'slug': 'sliding-window'}]",False,False
34.509943826861125,Medium,,31,False,False,,Next Permutation,next-permutation,"[{'name': 'Array', 'id': 'VG9waWNUYWdOb2RlOjU=', 'slug': 'array'}, {'name': 'Two Pointers', 'id': 'VG9waWNUYWdOb2RlOjk=', 'slug': 'two-pointers'}]",True,False
30.486242690384373,Hard,,32,False,False,,Longest Valid Parentheses,longest-valid-parentheses,"[{'name': 'String', 'id': 'VG9waWNUYWdOb2RlOjEw', 'slug': 'string'}, {'name': 'Dynamic Programming', 'id': 'VG9waWNUYWdOb2RlOjEz', 'slug': 'dynamic-programming'}, {'name': 'Stack', 'id': 'VG9waWNUYWdOb2RlOjE1', 'slug': 'stack'}]",True,False
